title,authors,type
E. M. Forster: A Life,P.N. Furbank,Book
In Search of Dracula: The History of Dracula and Vampires,Raymond T. McNally/Radu Florescu,Book
Maison Ikkoku  Volume 9 (Maison Ikkoku  #9),Rumiko Takahashi,Book
Loving Will Shakespeare,Carolyn Meyer,Book
The Future of Spacetime,Stephen Hawking/Kip S. Thorne/Igor Novikov/Timothy Ferris/Alan Lightman/Richard     Price,Book
Carter Beats the Devil,Glen David Gold,Book
Blowback (Scot Harvath  #4),Brad Thor,Book
The Eagle (The Lighthouse Family  #3),Cynthia Rylant/Preston McDaniels,Book
Transform Your Life: A step-by-step programme for change,Diana Cooper,Book
Before the Mayflower: A History of Black America,Lerone Bennett Jr.,Book
The Earth and Its Peoples: A Global History  Volume C: Since 1750,Richard W. Bulliet/Pamela Kyle Crossley/Steven Hirsch,Book
The Magicians' Guild (Black Magician Trilogy  #1),Trudi Canavan,Book
The Listener's Bible: NIV,Anonymous/Max McLean,Book
Sylvester,Georgette Heyer/Joan Wolf,Book
Pride & Prejudice,Jane Austen/Vivien Jones,Book
O Trono de Prata (As Crónicas de Nárnia  #6),C.S. Lewis/Ana Falcão Bastos,Book
Doctor Faustus,Christopher Marlowe/David Wootton,Book
Bound for Oregon,Jean Van Leeuwen/James Watling/R.W. Alley,Book
Story of O,Pauline Réage/John Paul Hand,Book
What Is Goth?,Aurelio Voltaire,Book
The Night Awakens: A Mystery Writers of America Anthology,Mary Higgins Clark/Angela Zeman/Noreen Ayres/Sally Cabot Gunning/Joseph Hansen/Sarah Shankman/Nancy Pickard/Eleanor Taylor Bland/Brendan DuBois/Edward D. Hoch/Loren D. Estleman,Book
Gone with the Wind,Margaret Mitchell,Book
Exclusive,Sandra Brown,Book
The Known World,Edward P. Jones,Book
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,Book
Kiss the Girls (Alex Cross  #2),James Patterson,Book
La mezzanine,Nicholson Baker,Book
Twilight (Twilight  #1),Stephenie Meyer,Book
The Conquest of Gaul,Gaius Julius Caesar/F.P. Long/Cheryl Walker,Book
A Time to Embrace (Timeless Love  #2),Karen Kingsbury,Book
Koko's Kitten,Francine Patterson/Ronald H. Cohn,Book
The Witches of Worm,Zilpha Keatley Snyder,Book
The Oresteia,Aeschylus/Ted Hughes,Book
H.M.S. Unseen (Admiral Arnold Morgan  #3),Patrick Robinson/Sandler/David McCallum,Book
Wonderful Alexander and the Catwings,Ursula K. Le Guin/S.D. Schindler,Book
The Bonesetter's Daughter,Amy Tan,Book
The Art of Warfare,Sun Tzu/Roger T. Ames,Book
Heretics of Dune (Dune Chronicles #5),Frank Herbert,Book
Las intermitencias de la muerte,José Saramago/Pilar del Río,Book
Little Town on the Prairie  (Little House  #7),Laura Ingalls Wilder/Garth Williams,Book
Trauma,Graham Masterton,Book
The World Made Straight,Ron Rash,Book
Yellow Dog,Martin Amis,Book
The Art of War,Mao Zedong,Book
The MacMillan Bible Atlas,Yohanan Aharoni/Michael Avi-Yonah,Book
Midnight Brunch (Casa Dracula  #2),Marta Acosta,Book
Emotional Intelligence: Why It Can Matter More Than IQ,Daniel Goleman,Book
Superheroes and Philosophy: Truth  Justice  and the Socratic Way,Tom Morris/William Irwin,Book
Historia del rey transparente,Rosa Montero,Book
Mercy Watson: Princess in Disguise,Kate DiCamillo/Chris Van Dusen,Book
The Book Thief,Markus Zusak/Cao Xuân Việt Khương,Book
The Glass Lake,Maeve Binchy,Book
Devil's Backbone,Terry C. Johnston,Book
Ready or Not (All-American Girl  #2),Meg Cabot,Book
Divine Conspiracy: Rediscovering Our Hidden Life in God,Dallas Willard,Book
Bedlam's Bard (Bedlam Bard  #1-2),Mercedes Lackey/Ellen Guon,Book
The Oedipus Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles/Paul Roche,Book
A Fabulous  Formless Darkness,David G. Hartwell/Fritz Leiber/Fitz-James O'Brien/Shirley Jackson/Ambrose Bierce/Edith Wharton/Algernon Blackwood/Thomas M. Disch/Robert Aickman/Philip K. Dick/Gene Wolfe/Charles Dickens/Stephen King/Joyce Carol Oates/Walter de la Mare/Ivan Turgenev/Robert W. Chambers/Oliver Onions,Book
Desolation Angels,Jack Kerouac/Joyce Johnson,Book
PS I Love You Baby Collection,Lynda Milligan/Nancy J. Smith,Book
犬夜叉 10,Rumiko Takahashi,Book
Twisted: The Collected Short Stories,Jeffery Deaver,Book
Lost Horizon,James Hilton,Book
The Ghost Map: The Story of London's Most Terrifying Epidemic—and How It Changed Science  Cities  and the Modern World,Steven Johnson,Book
¡Horton escucha a quién!,Dr. Seuss/Yanitzia Canetti,Book
The Da Vinci Code (Robert Langdon  #2),Dan Brown/Paul Michael,Book
Housekeeping vs. the Dirt,Nick Hornby/Sarah Vowell/Jess Walter/Jennie Erdal/Joshua Ferris,Book
The Dream Master,Roger Zelazny,Book
The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield/Robert McKee,Book
The Portable James Joyce,James Joyce/Harry Levin,Book
Antibodies,Charles Stross/Shandra Marie/Jared Doreck,Book
Amerika,Franz Kafka/Willa Muir/Edwin Muir/Klaus Mann/E.L. Doctorow,Book
Parliament of Whores: A Lone Humorist Attempts to Explain the Entire U.S. Government,P.J. O'Rourke,Book
Betsy and Joe (Betsy-Tacy  #8),Maud Hart Lovelace/Vera Neville,Book
Alone in the Crowd (Sweet Valley High  #28),Francine Pascal/Kate William,Book
You Suck (A Love Story  #2),Christopher Moore,Book
Cover Her Face (Adam Dalgliesh #1),P.D. James/Neville Teller/Robin Ellis/Sian Phillips/Hugh Grant,Book
100 Love Sonnets,Pablo Neruda/Stephen Tapscott,Book
Whole Earth Software Catalog,Stewart Brand,Book
The Deeds of the Disturber (Amelia Peabody  #5),Elizabeth Peters,Book
The Secret Garden,Frances Hodgson Burnett,Book
A House Divided (House of Earth  #3),Pearl S. Buck,Book
The Wall of the Sky  the Wall of the Eye,Jonathan Lethem,Book
War and Peace,Leo Tolstoy,Book
Haussmann  or the Distinction,Paul La Farge,Book
All Aunt Hagar's Children: Stories,Edward P. Jones,Book
A Million Little Lies,James Pinocchio/Pablo Fenjves,Book
The Erotic Phenomenon,Jean-Luc Marion/Stephen E. Lewis,Book
Michael Smith Elements of Style,Michael S.  Smith/Diane Dorrans Saeks,Book
The Dancing Girl of Izu and Other Stories,Yasunari Kawabata/J. Martin Holman,Book
The Panda's Thumb: More Reflections in Natural History,Stephen Jay Gould,Book
Teach Them Diligently: How to Use the Scriptures in Child Training,Lou Priolo,Book
Dans les coulisses du musée,Kate Atkinson/Jean Bourdier,Book
The Complete Short Novels,Anton Chekhov/Richard Pevear/Larissa Volokhonsky,Book
Selected Verse,Federico García Lorca/Christopher Maurer,Book
Der Gesang Des Meeres. Beach Music,Pat Conroy,Book
The Anthropology of Turquoise: Reflections on Desert  Sea  Stone  and Sky,Ellen Meloy,Book
Tsubasa: RESERVoir CHRoNiCLE  Vol. 04 (Tsubasa: RESERVoir CHRoNiCLE  #4),CLAMP/William Flanagan,Book
Dark Visions,Douglas E. Winter/Dan Simmons/Stephen King/George R.R. Martin,Book
The Circus of Adventure,Enid Blyton,Book
Feeding the Future: From Fat to Famine  How to Solve the World's Food Crises,Andrew Heintzman/Evan Solomon/Eric Schlosser,Book
The Children's Homer: The Adventures of Odysseus and the Tale of Troy,Padraic Colum/Willy Pogány,Book
The Moonstone,Wilkie Collins,Book
Apollodorus' Library and Hyginus' Myths: Two Handbooks of Greek Mythology,Apollodorus/Hyginus/R. Scott Smith/Stephen M. Trzaskoma,Book
The Man Who Watched Trains Go By,Georges Simenon/Marc Romano/D. Thin/Luc Sante,Book
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,Book
Lord Malquist and Mr. Moon,Tom Stoppard,Book
Plays 5: Arcadia / The Real Thing / Night and Day / Indian Ink / Hapgood,Tom Stoppard,Book
Jenny and the Jaws of Life: Short Stories,Jincy Willett/David Sedaris,Book
Palm Sunday: An Autobiographical Collage,Kurt Vonnegut Jr.,Book
Be Happy or I'll Scream!: My Deranged Quest for the Perfect Husband  Family  and Life,Sheri Lynch,Book
