Album,Artist Name,type
Cajas de música difíciles de parar,Nacho Vegas,CD
A Meeting by the River,Ry Cooder & V.M. Bhatt,CD
Dr. Octagon,Dr. Octagon,CD
The Gathering,Testament,CD
The End of Evangelion,Shiro Sagisu,CD
Contagion,Arena,CD
Pinkerton,Weezer,CD
Benefit,Jethro Tull,CD
So Far,Bob Theil,CD
Fresh,Sly & The Family Stone,CD
Road to Ruin,Ramones,CD
Dookie,Green Day,CD
Complete & Unbelievable: The Otis Redding Dictionary of Soul,Otis Redding,CD
Walls of Jericho,Helloween,CD
Family Entertainment,Family,CD
The Complete Works,Royal Concertgebouw Orchestra / Asko Ensemble / Riccardo Chailly,CD
Eternal Nightmare,Vio-Lence,CD
Pornography,The Cure,CD
Coltrane,The John Coltrane Quartette,CD
Music for Church Cleaners Vol. I and II,Áine O'Dwyer,CD
III - Tri-Logy,Kingston Wall,CD
The Art Tatum - Ben Webster Quartet,The Art Tatum-Ben Webster Quartet,CD
Gently Disturbed,Avishai Cohen Trio,CD
Fabrication Defect: Com defeito de fabricação,Tom Zé,CD
I'm a Loser,Doris Duke,CD
Mirage,Camel,CD
Alternative 4,Anathema,CD
Teenage Snuff Film,Rowland S. Howard,CD
Bridge Across Forever,Transatlantic,CD
Indiana Jones and the Last Crusade,John Williams,CD
Ship Ahoy,The O'Jays,CD
Breaking Atoms,Main Source,CD
The Stranger,Billy Joel,CD
Flying Microtonal Banana,King Gizzard and the Lizard Wizard,CD
Wish You Were Here,Pink Floyd,CD
Indecent & Obscene,Dismember,CD
Lysol,Melvins,CD
Marbles,Marillion,CD
Music for K,Tomasz Stańko Quintet,CD
The Glow Pt. 2,The Microphones,CD
Brasil,Ratos de Porão,CD
真・女神転生III Nocturne (Shin Megami Tensei III: Nocturne),目黒将司 [Shoji Meguro] / 田崎寿子 [Toshiko Tasaki] / 土屋憲一 [Kenichi Tsuchiya],CD
Omega,Morente & Lagartija Nick,CD
Radios Appear,Radio Birdman,CD
The Lonesome Crowded West,Modest Mouse,CD
Liumin,Deepchord Presents Echospace,CD
On Time,Grand Funk Railroad,CD
Animals,Pink Floyd,CD
Lô Borges,Lô Borges,CD
Secret South,16 Horsepower,CD
Eraserhead,David Lynch & Alan R. Splet,CD
Nightfall,Candlemass,CD
Chappaqua Suite,Ornette Coleman,CD
Golden Earring,Golden Earring,CD
El derecho de vivir en paz,Víctor Jara,CD
R4™ / Ridge Racer Type 4 / Direct Audio,*Namco Consumer Software Sound Team,CD
The Four Seasons,Academy of St Martin in the Fields / Neville Marriner / Alan Loveday,CD
Clarity,Jimmy Eat World,CD
Jaws,John Williams,CD
The Scream That Tore the Sky,StarGazer,CD
From Mars to Sirius,Gojira,CD
In Europe,Big Mama Thornton,CD
Black Celebration,Depeche Mode,CD
Snow,Spock's Beard,CD
Persepolis,Groupe de Recherches Musicales de la RTF,CD
World Coming Down,Type O Negative,CD
Led Zeppelin III,Led Zeppelin,CD
The Rotters' Club,Hatfield and the North,CD
Lightfoot!,Gordon Lightfoot,CD
Stained Class,Judas Priest,CD
Above the Weeping World,Insomnium,CD
Believe It,The New Tony Williams Lifetime,CD
You're Never Alone With a Schizophrenic,Ian Hunter,CD
Untitled Unmastered.,Kendrick Lamar,CD
Lateralus,Tool,CD
Ace of Spades,Motörhead,CD
Hayalet Islığı,Farazi v Kayra,CD
All American Music,Jimmie Dale & The Flatlanders,CD
Moving Pictures,Rush,CD
Three Sided Tape Volume One,Lil Ugly Mane,CD
Cabretta,Mink DeVille,CD
Angels of Distress,Shape of Despair,CD
The Time of the Oath,Helloween,CD
Slaughtersun (Crown of the Triarchy),Dawn,CD
Heaven to a Tortured Mind,Yves Tumor,CD
This Godless Endeavor,Nevermore,CD
Still Life,Van der Graaf Generator,CD
4 Balladen; Barcarolle; Fantasie,Krystian Zimerman,CD
Hamburger Concerto,Focus,CD
In the Dark,Toots & The Maytals,CD
International Thief Thief,Fela Anikulapo Kuti and the Afrika 70,CD
Gris-Gris,"Dr. John, The Night Tripper",CD
Choice Cuts,Master's Apprentices,CD
Ghosts,Strawbs,CD
Inferno,Metamorfosi,CD
Get Lost,The Magnetic Fields,CD
Amarok,Mike Oldfield,CD
Microphones in 2020,The Microphones,CD
Rain Upon the Impure,The Ruins of Beverast,CD
Mclusky Do Dallas,Mclusky,CD
Somewhere Out in Space,Gamma Ray,CD
Critical Beatdown,Ultramagnetic MC's,CD
On the Run,Tommy Wright III,CD
"Rip, Rig and Panic",The Roland Kirk Quartet,CD
A Hard Day's Night,The Beatles,CD
Epica,Kamelot,CD
Müptezhel,Ezhel,CD
Black Sabbath,Black Sabbath,CD
Street of Dreams,Grant Green,CD
E seu violão,Caymmi,CD
Felt Mountain,Goldfrapp,CD
Symphonie No. 9 / Moldau,Wiener Philharmoniker / Herbert von Karajan,CD
First Utterance,Comus,CD
Balls to the Wall,Accept,CD
The World of Cecil Taylor,Cecil Taylor,CD
"24 Préludes, Op. 28; Préludes Nr. 25, Op. 45; Nr. 26, Op. Posth.",Martha Argerich,CD
Monuments to Thieves,His Hero Is Gone,CD
Pelagial,The Ocean,CD
Jacques Brel [Ces gens-là],Jacques Brel,CD
Deus Ex: Game of the Year Edition,Alexander Brandon / Michiel van den Bos,CD
Street Survivors,Lynyrd Skynyrd,CD
The Rocky Horror Picture Show,Various Artists,CD
The Garden of Jane Delawney,Trees,CD
Hell,James Brown,CD
Still,Joy Division,CD
Time Out,The Dave Brubeck Quartet,CD
Welcome My Last Chapter,Vinterland,CD
Baazaar,Jerzy Milian,CD
Amoroso,João Gilberto,CD
The Holy Bible,Manic Street Preachers,CD
Today!,Skip James,CD
Tracy Chapman,Tracy Chapman,CD
Time Machines,Time Machines,CD
"Orphans: Brawlers, Bawlers & Bastards",Tom Waits,CD
Biglietto per l'Inferno,Biglietto per l'Inferno,CD
Tuesday Wonderland,e.s.t.,CD
Go,Dexter Gordon,CD
Eastern Sounds,Yusef Lateef,CD
To Mega Therion,Celtic Frost,CD
Slowly We Rot,Obituary,CD
Pat Metheny Group,Pat Metheny Group,CD
Koniec żartów,Łona,CD
Achtung Baby,U2,CD
5,J.J. Cale,CD
Energy,Operation Ivy,CD
Workin' With the Miles Davis Quintet,The Miles Davis Quintet,CD
It Was Written,Nas,CD
Chocolate and Cheese,Ween,CD
Southernplayalisticadillacmuzik,OutKast,CD
Turkish Women at the Bath,Pete La Roca,CD
Speaking in Tongues,Talking Heads,CD
Edu Lôbo [Missa breve],Edu Lôbo,CD
Fiu fiu...,Lech Janerka,CD
Tyranny and Mutation,The Blue Öyster Cult,CD
"Letzte Tage, Letzte Nächte",Popol Vuh,CD
となりのトトロ (Tonari no Totoro),久石譲 [Joe Hisaishi],CD
"Folk, Blues & Beyond...",Davy Graham,CD
Haibane-Renmei: Hanenone,大谷幸 [Ko Otani],CD
Of Queues and Cures,National Health,CD
UNDERTALE,"Toby ""Radiation"" Fox",CD
Even in the Quietest Moments...,Supertramp,CD
He Miss Road,Fẹla Ransome-Kuti and The Africa 70,CD
Evolution,Grachan Moncur III,CD
Звезда,Дельфин [Dolphin],CD
Eureka,Jim O'Rourke,CD
The River,Ali Farka Touré,CD
A Kiss in the Dreamhouse,Siouxsie and The Banshees,CD
Trick,Alex G,CD
Too Far to Care,Old 97's,CD
Micah P. Hinson and the Gospel of Progress,Micah P. Hinson,CD
The Lioness,Songs: Ohia,CD
Sechs Suiten für Violoncello Solo BWV 1007-1012,Pierre Fournier,CD
"Ashes 2 Ashes, Dust 2 Dust",Tommy Wright III,CD
Rossz csillag alatt született,Venetian Snares,CD
Come My Fanatics...,Electric Wizard,CD
Nothing,Meshuggah,CD
Supermodified,Amon Tobin,CD
Koyaanisqatsi,Philip Glass,CD
Exercises in Futility,Mgła,CD
Perfect From Now On,Built to Spill,CD
Repetition,Unwound,CD
Rua,Clann Zú,CD
All 'n All,Earth Wind & Fire,CD
Seven Churches,Possessed,CD
Litania: Music of Krzysztof Komeda,Tomasz Stanko Septet,CD
Cargo,Cargo,CD
Hittin' the Note,The Allman Brothers Band,CD
O.gród K.oncentracyjny (dwa dni później),Świetliki,CD
Lust for Life,Iggy Pop,CD
Right Now!,Jackie McLean,CD
Okie,J.J. Cale,CD
The Pleasure Principle,Gary Numan,CD
Willisau (Quartet) 1991,Anthony Braxton,CD
Blue Afternoon,Tim Buckley,CD
"Tachibana, Vol. 1",Tohru Aizawa Quartet,CD
Visitation,Pekka Pohjola,CD
The Who Sell Out,The Who,CD
Die Kunst der Fuge,Tatiana Nikolayeva,CD
Домой!,Янка [Yanka],CD
Study in Brown,Clifford Brown and Max Roach,CD
Chapter One: Latin America,Gato Barbieri,CD
One Nation Under a Groove,Funkadelic,CD
Sweet Old World,Lucinda Williams,CD
Of the Sun + Moon,Sacred Blade,CD
Murmuüre,Murmuüre,CD
To See the Next Part of the Dream,파란노을 [Parannoul],CD
Meat Puppets II,Meat Puppets,CD
"""Born Into Trouble as the Sparks Fly Upward.""",The Silver Mt. Zion Memorial Orchestra & Tra-La-La Band,CD
Samurai Champloo Music Record: Departure,Nujabes / Fat Jon,CD
Covenant,Morbid Angel,CD
Lupe Fiasco's Food & Liquor,Lupe Fiasco,CD
Polygondwanaland,King Gizzard and the Lizard Wizard,CD
"""X""",Klaus Schulze,CD
Thousand Knives of Ryuichi Sakamoto,Ryuichi Sakamoto,CD
Игра с огнем,Ария [Aria],CD
Angel's Egg,Gong,CD
Darkness Descends,Dark Angel,CD
ATLiens,OutKast,CD
Pampered Menial,Pavlov's Dog,CD
Into the Enchanted Chamber,Timeless Miracle,CD
In the Court of the Crimson King,King Crimson,CD
Kuře v hodinkách,Flamengo,CD
All We Love We Leave Behind,Converge,CD
Veritas Diaboli manet in aeternum,Deathspell Omega / S.V.E.S.T.,CD
Looks Like Rain,Mickey Newbury,CD
Teens of Denial,Car Seat Headrest,CD
Explorations,Bill Evans Trio,CD
If Beale Street Could Talk,Nicholas Britell,CD
Welcome to Hell,Venom,CD
Images and Words,Dream Theater,CD
Pleased to Meet Me,The Replacements,CD
La La Land,Justin Hurwitz,CD
Hair of the Dog,Nazareth,CD
Never Mind the Bollocks Here's the Sex Pistols,Sex Pistols,CD
Slapp Happy or Slapp Happy,Slapp Happy,CD
drukqs,Aphex Twin,CD
Transient,Gaelle,CD
Mob Rules,Black Sabbath,CD
VA-11 HALL-A: Second Round,Garoad,CD
Nosferatu: Brüder des Schattens - Söhne des Lichts,Popol Vuh,CD
Tristan und Isolde,Wilhelm Furtwängler / Ludwig Suthaus / Kirsten Flagstad,CD
Coping With the Urban Coyote,Unida,CD
808s & Heartbreak,Kanye West,CD
Sonny's Dream (Birth of the New Cool),The Sonny Criss Orchestra,CD
From Gardens Where We Feel Secure,Virginia Astley,CD
The World of Genius Hans,Moving Gelatine Plates,CD
Crack the Skye,Mastodon,CD
Easter,Patti Smith Group,CD
Aurora,平沢進 [Susumu Hirasawa],CD
Ceux du dehors,Univers Zéro,CD
L'apocalypse des animaux,Vangelis Papathanassiou,CD
Stage Four,Touché Amoré,CD
Q: Are We Not Men? A: We Are Devo!,Devo,CD
Getz / Gilberto,Stan Getz & João Gilberto featuring Antônio Carlos Jobim,CD
No One Can Do It Better,The D.O.C.,CD
Loki?,Arnaldo Baptista,CD
Tata Kazika,Kult,CD
Alenar,Maria del Mar Bonet,CD
Good for Your Soul,Oingo Boingo,CD
Have Moicy!,"Michael Hurley, The Unholy Modal Rounders, Jeffrey Fredericks & The Clamtones",CD
It's Time,Max Roach and His Chorus and Orchestra,CD
Chega de saudade,João Gilberto,CD
加爾基 精液 栗ノ花 (Kalk samen kuri no hana),椎名林檎 [Sheena Ringo],CD
Spirit Phone,Lemon Demon,CD
Trust Us,Motorpsycho,CD
Time,ELO,CD
Pop Crimes,Rowland S. Howard,CD
Underwater Moonlight,The Soft Boys,CD
Irrlicht,Klaus Schulze,CD
Frames,Oceansize,CD
Cave Story,Studio Pixel,CD
The Sinking of the Titanic,Gavin Bryars,CD
LC,The Durutti Column,CD
The Big Beat,Art Blakey & The Jazz Messengers,CD
Wee Tam & The Big Huge,The Incredible String Band,CD
Days of Future Passed,The Moody Blues With The London Festival Orchestra,CD
Today,Galaxie 500,CD
Cello Concerto; Sea Pictures,London Symphony Orchestra / John Barbirolli / Jacqueline du Pré / Janet Baker,CD
Don Cherry,Don Cherry,CD
Slave to the Grind,Skid Row,CD
Mythical & Magical,Pagan Altar,CD
Funky Kingston,Toots & The Maytals,CD
Hex,Bark Psychosis,CD
Filth,Swans,CD
Low Estate,Sixteen Horsepower,CD
Transient Random-Noise Bursts With Announcements,Stereolab,CD
Love in Us All,Pharoah Sanders,CD
Weezer [Blue Album],Weezer,CD
Wheels of Steel,Saxon,CD
War,U2,CD
The ArchAndroid,Janelle Monáe,CD
Salvation,Cult of Luna,CD
The Art of Navigating by the Stars,Sieges Even,CD
A mulher do fim do mundo,Elza,CD
Metal Heart,Accept,CD
Mezzanine,Massive Attack,CD
Sketches of Spain,Miles Davis,CD
The Best Part,J-Live,CD
Still,Nine Inch Nails,CD
Ellington Uptown,Duke Ellington and His Orchestra,CD
Love Ire & Song,Frank Turner,CD
Re,Café Tacvba,CD
Taj Mahal,Taj Mahal,CD
I Am,"Earth, Wind & Fire",CD
Somewhere in Time,Iron Maiden,CD
Wahoo!,Eero Koivistoinen Music Society,CD
The Satanist,Behemoth,CD
Teatro,Willie Nelson,CD
Y,The Pop Group,CD
For You,山下達郎 [Tatsuro Yamashita],CD
The Seaside,Cardiacs,CD
Fatal Portrait,King Diamond,CD
Phaedra,Tangerine Dream,CD
Paint a Picture,Fantasy,CD
G_d's Pee AT STATE'S END!,Godspeed You! Black Emperor,CD
Tana Talk 3,Benny the Butcher,CD
Rumours,Fleetwood Mac,CD
Graduation,Kanye West,CD
Are You Experienced,The Jimi Hendrix Experience,CD
Isa,Enslaved,CD
Marek Grechuta & Anawa,Marek Grechuta & Anawa,CD
Lord Willin',Clipse,CD
Rock Bottom,Robert Wyatt,CD
Bath,maudlin of the Well,CD
Razamanaz,Nazareth,CD
Vib-Ribbon,Laugh & Peace,CD
Stardust We Are,The Flower Kings,CD
Intermodulation,Bill Evans & Jim Hall,CD
Wildhoney,Tiamat,CD
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,CD
Through Silver in Blood,Neurosis,CD
City of Caterpillar,City of Caterpillar,CD
The Thing to Do,Blue Mitchell,CD
The Natural Bridge,Silver Jews,CD
First Take,Roberta Flack,CD
Secos & Molhados,Secos & Molhados,CD
Lanquidity,Sun Ra,CD
Historia podwodna,Lech Janerka,CD
Confesiones de invierno,Sui Generis,CD
The Delfonics,The Delfonics,CD
Trans Europa Express,Kraftwerk,CD
Black Love,The Afghan Whigs,CD
Enter the Realm of Death,Runemagick,CD
Jerusalem,Sleep,CD
Nursery Cryme,Genesis,CD
H to He Who Am the Only One,Van der Graaf Generator,CD
Forlatt,Vàli,CD
Lucio Dalla,Lucio Dalla,CD
A Third of a Lifetime,Three Man Army,CD
A Charlie Brown Christmas,Vince Guaraldi,CD
Pet Sounds,The Beach Boys,CD
Children of God,Swans,CD
The Pink Panther,Henry Mancini,CD
Amarcord,Nino Rota,CD
Didn't It Rain,Songs: Ohia,CD
Stick-Up!,Bobby Hutcherson,CD
Wishbone Ash,Wishbone Ash,CD
Paris 1919,John Cale,CD
Trilogie de la mort,Eliane Radigue,CD
Deathcult for Eternity: The Triumph,The Chasm,CD
Deltron 3030,Deltron 3030,CD
Urban Hymns,The Verve,CD
Sulle corde di Aries,Battiato,CD
Death Walks Behind You,Atomic Rooster,CD
Black Saint,Billy Harper,CD
Hell on Earth,Mobb Deep,CD
The Cars,The Cars,CD
Pescado 2,Pescado Rabioso,CD
Mercurial World,Magdalena Bay,CD
Gentleman,Fela Ransome Kuti & The Afrika 70,CD
Quadrophenia,The Who,CD
666,Aphrodite's Child,CD
Mirror of Souls,Theocracy,CD
Somewhere Far Beyond,Blind Guardian,CD
Veneno,Veneno,CD
Otis Blue: Otis Redding Sings Soul,Otis Redding,CD
Emitt Rhodes,Emitt Rhodes,CD
Heralding: The Fireblade,Falkenbach,CD
Five Leaves Left,Nick Drake,CD
Reach Out,Four Tops,CD
Undeceived,Extol,CD
Twisted Into Form,Forbidden,CD
The Moon Is a Dead World,Gospel,CD
Shiny Beast (Bat Chain Puller),Captain Beefheart and The Magic Band,CD
Split,Groundhogs,CD
Masterpieces by Ellington,Duke Ellington and His Orchestra,CD
"Drumming; Music for Mallet Instruments, Voices and Organ; Six Pianos",Steve Reich & Musicians,CD
Кино (Чёрный альбом),Кино [Kino],CD
Hall of the Mountain Grill,Hawkwind,CD
Youth of America,Wipers,CD
Die Mensch-Maschine,Kraftwerk,CD
The Individualism of Gil Evans,Gil Evans,CD
Organized Konfusion,Organized Konfusion,CD
A Sombre Dance,Estatic Fear,CD
Bram Stoker's Dracula,Wojciech Kilar,CD
Una más (One More Time),Kenny Dorham,CD
Perdition City,Ulver,CD
OIL OF EVERY PEARL'S UN-INSIDES,SOPHIE,CD
The Rise and Fall of Ziggy Stardust and the Spiders From Mars,David Bowie,CD
Antisocialites,Alvvays,CD
Terminal Redux,Vektor,CD
A German Requiem,Philharmonia Orchestra / Philharmonia Chorus / Otto Klemperer / Elisabeth Schwarzkopf / Dietrich Fischer-Dieskau,CD
One Size Fits All,Frank Zappa and The Mothers of Invention,CD
Roman Candle,Elliott Smith,CD
Ogum Xangô,Gil e Jorge,CD
Bizarre Ride II the Pharcyde,The Pharcyde,CD
放課後ティータイムII (Ho-kago Tea Time Second),放課後ティータイム [Hokago Tea Time],CD
Neon Golden,The Notwist,CD
Liege & Lief,Fairport Convention,CD
Excitable Boy,Warren Zevon,CD
Yellow Magic Orchestra,Yellow Magic Orchestra,CD
革命京劇 (Revolutionary Pekinese Opera),Ground-Zero,CD
Blues-ette,Curtis Fuller's Quintet,CD
DOOM,Mick Gordon,CD
2012 - 2017,Against All Logic,CD
Harmony in Ultraviolet,Tim Hecker,CD
American IV: The Man Comes Around,Johnny Cash,CD
Realm of Chaos,Bolt Thrower,CD
Dear You,Jawbreaker,CD
